"filename", "language", "TypeScript", "Markdown", "TypeScript JSX", "JSON with Comments", "XML", "JSON", "CSS", "Properties", "JavaScript", "comment", "blank", "total"
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\ProductorsForm.tsx", "TypeScript JSX", 0, 0, 366, 0, 0, 0, 0, 0, 0, 23, 37, 426
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\SectionsForm.tsx", "TypeScript JSX", 0, 0, 152, 0, 0, 0, 0, 0, 0, 9, 16, 177
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\UserForm.tsx", "TypeScript JSX", 0, 0, 280, 0, 0, 0, 0, 0, 0, 6, 25, 311
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\WorkerProductor.tsx", "TypeScript JSX", 0, 0, 146, 0, 0, 0, 0, 0, 0, 6, 14, 166
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\workersForm.tsx", "TypeScript JSX", 0, 0, 220, 0, 0, 0, 0, 0, 0, 22, 18, 260
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\loading\Loading.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\loading\style.css", "CSS", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 39, 197
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\map\Map.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\message\MessageGlobal.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\theme\ToogleButton.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 6, 45
